,OBJECTID,adm_nm,adm_cd,adm_cd2,gu,dong,geometry
0,206,서울특별시 마포구 용강동,1114059,1144059000,마포구,용강동,"MULTIPOLYGON (((126.9445281888074 37.54514799989514, 126.9447600816805 37.54498906868186, 126.9448041713113 37.54495885547149, 126.9449534778755 37.54485738049411, 126.9450494920919 37.54479213246241, 126.9455178404302 37.5444947017651, 126.9478051339241 37.54336059788319, 126.9492325648683 37.54331097248807, 126.949681604116 37.54381892668303, 126.9506424895186 37.54342232220395, 126.9506971240766 37.54339777213969, 126.9497728624981 37.54237308116659, 126.9491655502303 37.54184146049104, 126.9437494645691 37.53798195499444, 126.942887625212 37.53743482890265, 126.9417708676003 37.53673213556684, 126.9406315026389 37.53602819788348, 126.9370875824056 37.53430558366682, 126.9340062933555 37.5363358075863, 126.9346944792319 37.53766291615592, 126.936633058136 37.54139813314953, 126.9370610038947 37.54216181393832, 126.9387677072955 37.5442881374525, 126.9407314087531 37.54661389054507, 126.9445281888074 37.54514799989514)))"
1,207,서울특별시 마포구 대흥동,1114060,1144060000,마포구,대흥동,"MULTIPOLYGON (((126.9468122045961 37.5568494513366, 126.94650440813 37.55673930814484, 126.9465563516502 37.55387833282037, 126.9466667604602 37.55305783262048, 126.9452677135306 37.54952411067782, 126.9451715798625 37.54953136551701, 126.945070904008 37.54953895946982, 126.9450342295315 37.54952301350975, 126.9449355015602 37.54947860871641, 126.9449041008802 37.54944305614564, 126.9448435899881 37.54937452157651, 126.9446917480117 37.54914509047187, 126.9437485737233 37.54743372362577, 126.9437202225587 37.54706386776387, 126.9437392963403 37.54696835880313, 126.9437454337984 37.5469422215708, 126.9437699825819 37.54683780783443, 126.9445281888074 37.54514799989514, 126.9407314087531 37.54661389054507, 126.9398660027862 37.54738494797472, 126.9399052295836 37.54762624740258, 126.9374613379911 37.55064878916115, 126.9370370860204 37.55103378326073, 126.9366628006901 37.55126691181142, 126.9364936081652 37.55137201278955, 126.9360956911077 37.55151663699642, 126.9360040446486 37.55154994481377, 126.9357353055894 37.55164728716528, 126.9353654859856 37.5517812432236, 126.9346118685731 37.55225647771094, 126.9340559743738 37.55260754011282, 126.9337180816022 37.55310964510148, 126.9340793160356 37.5534244789128, 126.9368665245201 37.55510319990802, 126.9402459016724 37.55618953529649, 126.9410476803245 37.55644340345586, 126.9446851536055 37.55683899477331, 126.9468013129129 37.55695711127851, 126.9468061483902 37.55690934631656, 126.9468122045961 37.5568494513366)))"
2,208,서울특별시 마포구 염리동,1114061,1144061000,마포구,염리동,"MULTIPOLYGON (((126.949681604116 37.54381892668303, 126.9492325648683 37.54331097248807, 126.9478051339241 37.54336059788319, 126.9455178404302 37.5444947017651, 126.9450494920919 37.54479213246241, 126.9449534778755 37.54485738049411, 126.9448041713113 37.54495885547149, 126.9447600816805 37.54498906868186, 126.9445281888074 37.54514799989514, 126.9437699825819 37.54683780783443, 126.9437454337984 37.5469422215708, 126.9437392963403 37.54696835880313, 126.9437202225587 37.54706386776387, 126.9437485737233 37.54743372362577, 126.9446917480117 37.54914509047187, 126.9448435899881 37.54937452157651, 126.9449041008802 37.54944305614564, 126.9449355015602 37.54947860871641, 126.9450342295315 37.54952301350975, 126.945070904008 37.54953895946982, 126.9451715798625 37.54953136551701, 126.9452677135306 37.54952411067782, 126.9466667604602 37.55305783262048, 126.9465563516502 37.55387833282037, 126.94650440813 37.55673930814484, 126.9468122045961 37.5568494513366, 126.9488469515568 37.5569707947589, 126.9487627092158 37.55542740855991, 126.9496261341447 37.55502091425022, 126.9504065288767 37.55397488873458, 126.9506480878803 37.55297439022646, 126.95060871916 37.55255395361905, 126.9506029073966 37.55249218424722, 126.950587062689 37.55232400913784, 126.9499770007564 37.54762514721393, 126.9484843836123 37.54595293967385, 126.9480373547546 37.54554863749475, 126.9477691380782 37.54536935349683, 126.9478792269796 37.5446432089276, 126.949681604116 37.54381892668303)))"
3,209,서울특별시 마포구 신수동,1114063,1144063000,마포구,신수동,"MULTIPOLYGON (((126.9407314087531 37.54661389054507, 126.9387677072955 37.5442881374525, 126.9370610038947 37.54216181393832, 126.936633058136 37.54139813314953, 126.9346944792319 37.53766291615592, 126.9340062933555 37.5363358075863, 126.9312332668581 37.53669424662898, 126.9296652962672 37.53689705915932, 126.9292299623807 37.53695385900097, 126.9288907524668 37.53703161884063, 126.9286283053523 37.53709178525238, 126.9279153706955 37.53725620986841, 126.9256461421733 37.53778037073113, 126.9254654174898 37.53782230476658, 126.9279024968538 37.54141082452227, 126.9313831880366 37.54508539992953, 126.9314479257129 37.54513190575493, 126.9319038960009 37.54546083909475, 126.9319205348435 37.54550598655517, 126.9325803422118 37.54733269437436, 126.9326263298927 37.54759938174731, 126.9328977417879 37.54931775313242, 126.9329606112453 37.54998505230067, 126.9329608658797 37.55004244592764, 126.9329598532273 37.551482131783, 126.9337180816022 37.55310964510148, 126.9340559743738 37.55260754011282, 126.9346118685731 37.55225647771094, 126.9353654859856 37.5517812432236, 126.9357353055894 37.55164728716528, 126.9360040446486 37.55154994481377, 126.9360956911077 37.55151663699642, 126.9364936081652 37.55137201278955, 126.9366628006901 37.55126691181142, 126.9370370860204 37.55103378326073, 126.9374613379911 37.55064878916115, 126.9399052295836 37.54762624740258, 126.9398660027862 37.54738494797472, 126.9407314087531 37.54661389054507)))"
4,210,서울특별시 마포구 서교동,1114066,1144066000,마포구,서교동,"MULTIPOLYGON (((126.9135347792953 37.54948323708437, 126.9116582359267 37.55421956099342, 126.9087975895597 37.55741869164588, 126.9090892659909 37.55765668378945, 126.9102349677249 37.55793401479872, 126.9106517078131 37.55803073704563, 126.9120106619934 37.55826172150362, 126.9131147116165 37.55824355441472, 126.915133394274 37.5582308893665, 126.9153626107482 37.55823104756686, 126.9154167454324 37.55823131561912, 126.9157569662874 37.558249899912, 126.9161653917702 37.55830332402729, 126.9161991595708 37.55830846643247, 126.9162447223476 37.55831540674399, 126.9164348080354 37.55837370987715, 126.9166523623086 37.55845617379443, 126.9170081760439 37.5585985961939, 126.9176020782441 37.55883815488033, 126.9178252948446 37.55859163990269, 126.9187799318839 37.55754043390255, 126.9216136540982 37.55946594204042, 126.9262524523884 37.56122060191414, 126.9271428752853 37.56175108622682, 126.9266775364002 37.56058376609457, 126.9264943886857 37.5592005095706, 126.9266253047208 37.55883159450014, 126.926855641232 37.55873589931882, 126.927008649521 37.5586723399723, 126.9271163795182 37.55862807938012, 126.9299991144911 37.55755900593189, 126.9351076372007 37.55566716019369, 126.9364401355039 37.55519868939823, 126.9367340777715 37.55511480661422, 126.9368665245201 37.55510319990802, 126.9340793160356 37.5534244789128, 126.9309449054894 37.55471356454586, 126.9293106705781 37.55415124036514, 126.9255183252951 37.55333137986034, 126.925042726905 37.55317474527072, 126.9242179213387 37.55239327917703, 126.9241135074608 37.55226059645138, 126.924096081736 37.55222706247578, 126.9240685255545 37.55212117754472, 126.9240944199308 37.55189130265663, 126.9241018923207 37.55185299580587, 126.9241069367143 37.55182714273984, 126.9242144816767 37.55155275641901, 126.924246112768 37.55111907432779, 126.9242355356329 37.55092980296554, 126.9238719363962 37.55064410505157, 126.9218517485528 37.54909968700363, 126.9211515500604 37.54869853698207, 126.9202954202461 37.54831353113426, 126.9193802030126 37.54838000183035, 126.9187363244711 37.54842809803108, 126.9183396302652 37.54850697192996, 126.918058374963 37.54856393389552, 126.9169990542469 37.54877950853584, 126.9165490289902 37.54887305379432, 126.9150855678079 37.54917790465854, 126.9150385999819 37.54921704732364, 126.9148046700218 37.54941381043086, 126.9145861924512 37.54959760268188, 126.9143877075036 37.54976505221052, 126.9156200235459 37.5507012295055, 126.9155599273265 37.55075572402312, 126.9154091120298 37.5508821538368, 126.9152586100121 37.55077352099799, 126.9144015291295 37.55015486582036, 126.9135347792953 37.54948323708437)))"
5,211,서울특별시 마포구 합정동,1114068,1144068000,마포구,합정동,"MULTIPOLYGON (((126.9135347792953 37.54948323708437, 126.9144015291295 37.55015486582036, 126.9152586100121 37.55077352099799, 126.9154091120298 37.5508821538368, 126.9155599273265 37.55075572402312, 126.9156200235459 37.5507012295055, 126.9143877075036 37.54976505221052, 126.9145861924512 37.54959760268188, 126.9148046700218 37.54941381043086, 126.9150385999819 37.54921704732364, 126.9150855678079 37.54917790465854, 126.9165490289902 37.54887305379432, 126.9169990542469 37.54877950853584, 126.918058374963 37.54856393389552, 126.9183396302652 37.54850697192996, 126.9187363244711 37.54842809803108, 126.9193802030126 37.54838000183035, 126.9202954202461 37.54831353113426, 126.9196892258002 37.54730779007571, 126.9176468580008 37.54463537955714, 126.9166959083577 37.5434623137176, 126.9160567974384 37.5424958392827, 126.91451019651 37.54015593272531, 126.9077129252561 37.54166765894863, 126.9040458723185 37.54284145707141, 126.900866487906 37.54407709506619, 126.9007181519882 37.54413492988729, 126.8992762718458 37.54492867538313, 126.8989237887093 37.54512292456586, 126.8984062718841 37.54540812513917, 126.8967563522268 37.54631737308835, 126.9010640476663 37.54998079137043, 126.9028352563106 37.55146346364422, 126.9098433497985 37.5536641841241, 126.9116582359267 37.55421956099342, 126.9135347792953 37.54948323708437)))"
6,212,서울특별시 마포구 망원1동,1114069,1144069000,마포구,망원1동,"MULTIPOLYGON (((126.9087975895597 37.55741869164588, 126.9116582359267 37.55421956099342, 126.9098433497985 37.5536641841241, 126.9028352563106 37.55146346364422, 126.9010640476663 37.54998079137043, 126.8967563522268 37.54631737308835, 126.8897544007029 37.55017183813918, 126.8929222242833 37.5528584441836, 126.8952839775353 37.55456031700076, 126.8968991970073 37.55571017749935, 126.8999392280682 37.55633331712638, 126.9081889781228 37.55804775152233, 126.9087975895597 37.55741869164588)))"
7,213,서울특별시 마포구 망원2동,1114070,1144070000,마포구,망원2동,"MULTIPOLYGON (((126.9043048704066 37.56239755941199, 126.9081889781228 37.55804775152233, 126.8999392280682 37.55633331712638, 126.8968991970073 37.55571017749935, 126.8952839775353 37.55456031700076, 126.8929222242833 37.5528584441836, 126.8897544007029 37.55017183813918, 126.8831662843492 37.55446522843518, 126.8943215126057 37.5598904888211, 126.9000020946687 37.56223707536697, 126.9019602227186 37.56303343439581, 126.9023553995021 37.56317401721145, 126.9033372881706 37.56330283738475, 126.9038100821801 37.56278710340528, 126.9043048704066 37.56239755941199)))"
8,214,서울특별시 마포구 연남동,1114071,1144071000,마포구,연남동,"MULTIPOLYGON (((126.9271989081632 37.56182912348396, 126.9271428752853 37.56175108622682, 126.9262524523884 37.56122060191414, 126.9216136540982 37.55946594204042, 126.9187799318839 37.55754043390255, 126.9178252948446 37.55859163990269, 126.9176020782441 37.55883815488033, 126.9179142297923 37.55929034181531, 126.9179465423221 37.55940985729385, 126.9181507145677 37.56053424655495, 126.9181147706668 37.56098360727223, 126.9178581893507 37.56184010846962, 126.9175804548784 37.56250470921106, 126.9175513282173 37.56254804189668, 126.9173858627871 37.56253145102353, 126.9171507890728 37.56336077193869, 126.9170947163665 37.56357097264647, 126.9169492311296 37.5644378932306, 126.9168169622437 37.56556407393158, 126.9166629233119 37.56693883660667, 126.9177418017608 37.56744328204122, 126.9247395122136 37.56572559908883, 126.9251314665074 37.56555625279618, 126.9256862061452 37.56529192930332, 126.9258212349465 37.56521822513922, 126.9259569854622 37.56514339764689, 126.9261362178161 37.56502709415746, 126.9263040204148 37.56491575984872, 126.9268230084464 37.5645222972681, 126.9269552252732 37.56441772599437, 126.9282466988367 37.56334393261646, 126.9281453881799 37.5631959538945, 126.9281158286508 37.56315284898634, 126.9274838378449 37.56223158085356, 126.9271989081632 37.56182912348396)))"
9,215,서울특별시 마포구 성산1동,1114072,1144072000,마포구,성산1동,"MULTIPOLYGON (((126.9176020782441 37.55883815488033, 126.9170081760439 37.5585985961939, 126.9166523623086 37.55845617379443, 126.9164348080354 37.55837370987715, 126.9162447223476 37.55831540674399, 126.9161991595708 37.55830846643247, 126.9161653917702 37.55830332402729, 126.9157569662874 37.558249899912, 126.9154167454324 37.55823131561912, 126.9153626107482 37.55823104756686, 126.915133394274 37.5582308893665, 126.9131147116165 37.55824355441472, 126.9120106619934 37.55826172150362, 126.9106517078131 37.55803073704563, 126.9102349677249 37.55793401479872, 126.9090892659909 37.55765668378945, 126.9087975895597 37.55741869164588, 126.9081889781228 37.55804775152233, 126.9043048704066 37.56239755941199, 126.9035840924174 37.56337254155295, 126.9154373956093 37.56681446783543, 126.9166629233119 37.56693883660667, 126.9168169622437 37.56556407393158, 126.9169492311296 37.5644378932306, 126.9170947163665 37.56357097264647, 126.9171507890728 37.56336077193869, 126.9173858627871 37.56253145102353, 126.9175513282173 37.56254804189668, 126.9175804548784 37.56250470921106, 126.9178581893507 37.56184010846962, 126.9181147706668 37.56098360727223, 126.9181507145677 37.56053424655495, 126.9179465423221 37.55940985729385, 126.9179142297923 37.55929034181531, 126.9176020782441 37.55883815488033)))"
