address,kind,name,score
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">고양시</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">크리스피파이</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.5</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">서대문구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">카페페라 유니크</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">중구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">레베랑스 치즈타르트</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">마포구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">레드</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">5.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">서초구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">Cafe Pera</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.4</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">서초구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">식음료</span>","<span jstcache=""126"">카페페라클래식</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.6</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">서대문구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">커피숍/커피 전문점</span>","<span jstcache=""126"">Cafe Pera</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.7</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">영등포구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">엘리스파이</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.5</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">중구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">마듀 김광석거리점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">마포구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">스노브</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">마포구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">케이크 전문점</span>","<span jstcache=""126"">피오니</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.9</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">해운대구</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">옵스 해운대점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
