address,kind,name,score
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의도동 43-3</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">엘리스파이</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.7</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의도동 국회대로74길 12</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">파리크라상 여의도점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의도동 34-6</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">데일리브라운 여의도점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의도동 국회대로</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">뚜레쥬르 국회의사당점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.5</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">합정동 딜라이트스퀘어 A 동 스타벅스 옆 1층</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">디저트 전문점</span>","<span jstcache=""126"">골든 치즈타르트 본점 (Golden Cheese Tart)</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.6</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">반포동</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">프랑스 제과점</span>","<span jstcache=""126"">줄리에뜨</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.4</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의동 여의대로 8</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">브리오슈도레 여의도점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.0</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의도동 16-2</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">아티제 여의도공원점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.9</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의대로 66 KR KTB 빌딩 1 층</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">마호가니커피 여의도KTB점</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">서교동 372-9</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">레드</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">상수동 와우산로 59-1</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">스노브</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.8</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">연희맛로 23</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">디저트 전문점</span>","<span jstcache=""126"">골든 치즈타르트 연희점 (Golden Cheese Tart Yeonhui)</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대현동 이화여대길 52-45</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">카페페라 유니크</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.9</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의도동 은행로 29</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">Cafe Artisée</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.2</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">문래동3가 77-8</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">쉐프조</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.6</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대현동 이화여대8길 2</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">커피숍/커피 전문점</span>","<span jstcache=""126"">Cafe Pera</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.2</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의도동 41-1</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">브레드05</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">여의동 23-1</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">10G</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">3.4</span>"
address,kind,name,score
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">반포동</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">프랑스 제과점</span>","<span jstcache=""126"">줄리에뜨</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.4</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">반포동</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">프랑스 제과점</span>","<span jstcache=""126"">줄리에뜨</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.4</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대현동 이화여대길 52-45</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">카페페라 유니크</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">대현동 이화여대길 52-45</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">카페페라 유니크</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.1</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">문래동3가 77-8</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">쉐프조</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.2</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">문래동3가 77-8</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">제과점</span>","<span jstcache=""126"">쉐프조</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.2</span>"
"<span jstcache=""141"" class=""section-result-location"" jsan=""7.section-result-location"">서교동 372-9</span>","<span jstcache=""139"" class=""section-result-details"" jsan=""7.section-result-details"">카페</span>","<span jstcache=""126"">레드</span>","<span aria-hidden=""true"" jstcache=""300"" class=""cards-rating-score"" jsan=""7.cards-rating-score,0.aria-hidden"">4.6</span>"
