	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	프랜차이저
0	휴게음식점	린네스가든	서울특별시 영등포구 여의도동  24번지 2호  102호		126.9271369	37.5243535	다방	0
1	휴게음식점	덕수궁전통찻집	서울특별시 영등포구 여의도동  14번지 24호  지하1층		126.9039455	37.5187568	다방	0
2	휴게음식점	가나안건강차	서울특별시 영등포구 여의도동  36번지 2호 3층 여의도백화-317		126.9326803	37.52958080000001	다방	0
3	휴게음식점	하드앤빈스	서울특별시 영등포구 여의도동  50번지 0호		126.93703049999999	37.5207424	다방	0
4	휴게음식점	스타벅스여의도점	서울특별시 영등포구 여의도동  23번지 9호	(주)스타벅스커피코리아	126.9244816	37.5240419	다방	1
5	휴게음식점	엠엠티에이치051(MMTH051)	서울특별시 영등포구 여의도동  44번지 26호  중앙빌딩1층 111호		126.92904340000001	37.5206144	다방	0
6	휴게음식점	리틀제이콥스	서울특별시 영등포구 여의도동  13번지 21호  맨하탄21리빙텔1층3-2		126.9215316	37.5295383	다방	0
7	휴게음식점	이디아에스프레소	서울특별시 영등포구 여의도동  45번지 20호		126.92891940000001	37.5196329	기타 휴게음식점	1
8	휴게음식점	델타	서울특별시 영등포구 여의도동  18번지 3호  한국보이스카우트연맹회관		126.9164767	37.5266497	기타 휴게음식점	0
9	휴게음식점	이디야라이프점	서울특별시 영등포구 여의도동  61번지 3호 지하1층 44호 라이프오피스텔		126.93916940000001	37.5195583	커피숍	1
10	휴게음식점	하겐다즈여의도점	서울특별시 영등포구 여의도동  37번지  아일렉스 상가1층 110호		126.92401159999999	37.52102360000001	기타 휴게음식점	0
11	휴게음식점	스카우트휴계실	서울특별시 영등포구 여의도동  18번지 3호		126.9164635	37.5266636	기타 휴게음식점	0
12	휴게음식점	엑소세	서울특별시 영등포구 여의도동  36번지 2호  여의도백화점 지상1층122호(일부)		126.92686880000001	37.52069779999999	커피숍	0
13	휴게음식점	스타벅스 롯데캐슬 여의도점	서울특별시 영등포구 여의도동  36번지  롯데캐슬 앰파이어 1층 104호	(주)스타벅스커피코리아	126.9263648	37.520206200000004	커피숍	1
14	휴게음식점	(주)커피앤샌드베리	서울특별시 영등포구 여의도동  23번지 3호  하나증권빌딩1층	(주)커피앤샌드베리	126.92378400000001	37.523594	기타 휴게음식점	0
15	휴게음식점	탐앤탐스국회의사당역점	서울특별시 영등포구 여의도동  17번지 7호  아시아원빌딩 1층		126.91755990000001	37.5271774	기타 휴게음식점	1
16	휴게음식점	커피빈코리아 여의도 34번지점	서울특별시 영등포구 여의도동  34번지 1호  SIMPAC 빌딩 1층 (구MBC 경영센터)	주)커피빈코리아	126.9295866	37.5226782	커피숍	1
17	휴게음식점	Ben&Jervy's	서울특별시 영등포구 여의도동  60번지  대한생명63  지하1층		126.93983259999999	37.51946470000001	기타 휴게음식점	0
18	휴게음식점	서울커피	서울특별시 영등포구 여의도동  43번지 4호  롯데캐슬아이비 101호		126.9318875	37.5200722	커피숍	0
19	휴게음식점	이디야	서울특별시 영등포구 여의도동  14번지 21호  엘지에클라트 101호		126.91912140000001	37.52964470000001	다방	1
