기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019	합계	합계	4,327,605	10,010,983	4,877,725	5,133,258	9,729,107	4,744,059	4,985,048	281,876	133,666	148,210	2.25	1,485,272
2019	종로구	소계	73,947	161,869	78,215	83,654	151,290	73,746	77,544	10,579	4,469	6,110	2.05	27,519
2019	종로구	사직동	4,621	9,815	4,455	5,360	9,535	4,297	5,238	280	158	122	2.06	1,778
2019	종로구	삼청동	1,396	2,997	1,439	1,558	2,758	1,326	1,432	239	113	126	1.98	664
2019	종로구	부암동	4,298	10,551	5,045	5,506	10,100	4,826	5,274	451	219	232	2.35	1,762
2019	종로구	평창동	7,520	18,816	8,812	10,004	18,659	8,739	9,920	157	73	84	2.48	3,263
2019	종로구	무악동	3,187	8,740	4,078	4,662	8,695	4,060	4,635	45	18	27	2.73	1,413
2019	종로구	교남동	4,583	10,708	4,983	5,725	10,562	4,915	5,647	146	68	78	2.3	1,564
2019	종로구	가회동	2,068	4,488	2,084	2,404	4,383	2,026	2,357	105	58	47	2.12	919
2019	종로구	종로1.2.3.4가동	5,210	8,446	4,885	3,561	7,227	4,300	2,927	1,219	585	634	1.39	1,900
2019	종로구	종로5·6가동	3,368	5,839	3,173	2,666	5,343	2,910	2,433	496	263	233	1.59	1,117
2019	종로구	이화동	4,441	8,470	3,896	4,574	7,847	3,698	4,149	623	198	425	1.77	1,377
2019	종로구	창신1동	2,936	6,079	3,252	2,827	5,243	2,820	2,423	836	432	404	1.79	1,214
2019	종로구	창신2동	4,121	9,799	4,974	4,825	8,550	4,366	4,184	1,249	608	641	2.07	1,708
2019	종로구	창신3동	2,903	7,271	3,588	3,683	7,106	3,506	3,600	165	82	83	2.45	1,198
2019	종로구	숭인1동	2,962	6,532	3,196	3,336	6,189	3,044	3,145	343	152	191	2.09	1,159
