	작성시간	작성자	위치	내용	좋아요수	해쉬태그
0	2018-06-09T03:36:31.000Z	88.11.02	여의동주민센터	0	70	0
1	2017-05-05T05:20:17.000Z	felixsuh	여의동주민센터	0	74	0
2	2017-05-05T07:53:21.000Z	gorgeoushong	여의동주민센터	민주주의의_꽃_#선거_소중한_한표_행사하기!🗳	107	#선거
3	2017-06-30T13:23:31.000Z	infaco_min	여의동주민센터	와이프랑_장모님이랑_셋이_카페갔다_오는길_차사고_난줄알았는데_자세히보니_드라마촬영중_설마_쌈마이웨이는_아니겠지_했는데_ㅋㅋ_쉐끼들_ㅋㅋ_이쁘네_#쌈마이웨이_#드라마_#촬영중_#여의도_#김주만_#백설희	147	#쌈마이웨이_#드라마_#촬영중_#여의도_#김주만_#백설희
4	2017-05-04T05:43:09.000Z	a_anne0513	여의동주민센터	🖒_#대통령선거/#사전투표/#여의동주민센터/#선거/#투표/#투표인증/#vote	59	#대통령선거_#사전투표_#여의동주민센터_#선거_#투표_#투표인증_#vote
5	2017-05-05T03:52:33.000Z	lowell_h.b.lee	여의동주민센터	#19대대통령선거_#사전투표_#여의동주민센터	18	#19대대통령선거_#사전투표_#여의동주민센터
6	2017-05-04T04:35:28.000Z	baegie.h	여의동주민센터	#사전투표_#투표인증_#piginthegarden_#아보카도샐러드/사전투표_했으니_맘_편히_출국_가능💃🏻_뿌듯!!_사전투표장_옥상에서_투표_후_먹은_아보카도_샐러드는_꿀맛~.~_내일_공항으로_치킨런_할_일만_남았다🐔	43	#사전투표_#투표인증_#piginthegarden_#아보카도샐러드
7	2018-06-09T10:45:13.000Z	hell_oooooo	여의동주민센터	투표소에_가서도_#엄근진_😑/-/#깐느_#현준_#닭띠맘_#D+137days_#투표소사로잡은_#인기쟁이_#장회장님	34	#엄근진_#깐느_#현준_#닭띠맘_#D_#투표소사로잡은_#인기쟁이_#장회장님
8	2020-04-10T06:24:28.000Z	unistargram7	여의도동_주민센터	[빛나는🌟여의도]_#415총선_똑똑한_유권자!/./🗳_#제21대국회의원선거_#영등포을_#여의동_#사전투표_#여의동주민센터_에서_#코로나19_에도_불구하고,_#마스크_착용,_#발열체크,_#손세정제_소독,_#사회적거리_유지_위한_5명씩_입장하기,_비닐장갑_착용,_#신분증_확인_후_투표용지_수령의_과정을_거쳐_소중한_권리_행사로_우리_미래에_한_표를_행사했습니다!_🚫_#찍자우리415/・・・/#여의도_#정치1번지_#국회의사당_#신길동_#신길제1동,_#신길제4동,_#신길제5동,_#신길제6동,_#신길제7동,_#대림동_#대림제1동,_#대림제2동,_#대림제3동_#국회의원_#연정학생회동행_#투표하는연정은_#정치외교학과/・・・	241	#415총선_#제21대국회의원선거_#영등포을_#여의동_#사전투표_#여의동주민센터_#코로나19_#마스크_#발열체크_#손세정제_#사회적거리_#신분증_#찍자우리415_#여의도_#정치1번지_#국회의사당_#신길동_#신길제1동_#신길제4동_#신길제5동_#신길제6동_#신길제7동_#대림동_#대림제1동_#대림제2동_#대림제3동_#국회의원_#연정학생회동행_#투표하는연정은_#정치외교학과
9	2020-02-05T01:47:42.000Z	haneul_0112	0	전주에_드디어_눈이_☃️/회사앞에_눈이_쌓여_낙서좀_해봤어요😊👍/(깨알_회사홍보중👍❤_우디회사_좋아여)/진짜_차량부터_기사님들까지_No.1_오예✋😎/코로나_진짜_빨리_훠이훠이,,,젭알,,,,,,🙏_#전주_#여의동_#금암동_#찬누리리무진_#찬누리투어_#28인승리무진_#공항수송_#전세버스문의_#문의환영_#일개미_#육아소통_#육아_#일상_#데일리_#셀피_#셀카_#이쁜척_#멍스타그램_#젊줌마_#주부스타그램_#맘스타그램_#육아맘_#자매맘_#도치맘_#워킹맘_#전주맘	72	#전주_#여의동_#금암동_#찬누리리무진_#찬누리투어_#28인승리무진_#공항수송_#전세버스문의_#문의환영_#일개미_#육아소통_#육아_#일상_#데일리_#셀피_#셀카_#이쁜척_#멍스타그램_#젊줌마_#주부스타그램_#맘스타그램_#육아맘_#자매맘_#도치맘_#워킹맘_#전주맘
10	2019-10-02T13:21:39.000Z	kimseoungkwon	탄소자동차	비오는_날_동산_여의동_맛집_두레숫불갈비에서_정말_맛있어요.숫불갈비_맛있게_구워주셔서_감사해요♡♡♡/./#전주#동산동#여의동#완주#수제갈비#함흥냉면#육회#갈비탕#점심특선#월드컵경기장#탄소산업#하가지구#전주IC#여기가끝이아니다#쵝오에요.	179	#전주_#동산동_#여의동_#완주_#수제갈비_#함흥냉면_#육회_#갈비탕_#점심특선_#월드컵경기장_#탄소산업_#하가지구_#전주IC_#여기가끝이아니다_#쵝오에요
11	2020-01-19T06:16:51.000Z	chill__.23	0	구름표_김빱🍚	42	
12	2020-03-08T07:56:00.000Z	mbo_25_	0	불만_한가득!	189	
13	2019-08-31T05:06:51.000Z	chlthekal	Seoul,_South_Korea	맞팔해요😄😄	149	
14	2020-03-31T12:04:42.000Z	hye_baragi_s	Jeonju	슨생님들_담엔_제가_모실게여😖	49	
15	2020-01-23T02:57:31.000Z	yarim722	Jeonju,_Korea	0	70	0
16	2020-03-10T15:12:41.000Z	yarim722	0	봄봄봄💗🌸🌷💐✨_-//봄_하면,_버스커버스커_벚꽃엔딩_이죠🤩/설레는_봄👧🏻	42	
17	2020-03-19T08:07:11.000Z	minjung__lee	Jeonju,_Korea	먹을거_다_먹어놓고_다이어트하자고_하면_나능_.._🙅🏻‍♀️	894	
18	2020-04-02T12:46:58.000Z	sexy_2soon	0	#산장_#황금보다좋은휴무_#서비스감사합니다!!	47	#산장_#황금보다좋은휴무_#서비스감사합니다
19	2020-02-18T10:13:21.000Z	minjung__lee	Seoul,_Korea	웃는거_어색해서_우야지	405	
20	2020-03-10T01:35:32.000Z	son__stagram6	0	황홀하다_황홀해..!!🤩/././#여의도맛집_#여의도한강공원_#여의도카페_#여의도역맛집_#여의도역카페_#샛강역맛집_#여의동_#ifc몰맛집_#여의도ifc몰_#신길동맛집_#신길동카페	102	#여의도맛집_#여의도한강공원_#여의도카페_#여의도역맛집_#여의도역카페_#샛강역맛집_#여의동_#ifc몰맛집_#여의도ifc몰_#신길동맛집_#신길동카페
21	2019-06-25T11:41:58.000Z	yeonscong	하이엔드_제주	0	693	0
22	2019-10-28T13:51:37.000Z	_jiyaa_____	0	0	110	0
23	2020-02-24T09:24:48.000Z	jd_ping7	0	떠라가_찍어준_나/꽃_협찬은_겨니!/ㆍ/ㆍ/ㆍ/ㆍ/ㆍ/ㆍ/ㆍ/ㆍ/ㆍ/ㆍ/#일상#데일리#24살#졸업생#취준생#시원섭섭#겨니#꽃#고마워#장소#강커피_#떠라랑#우정스타그램#셀스타그램#얼스타그램#전주#여의동#이쁜#카페에서#일상#데일리#daily#selfie#꽃스타그램#대학생#아니라#서글픔	28	#일상_#데일리_#24살_#졸업생_#취준생_#시원섭섭_#겨니_#꽃_#고마워_#장소_#강커피_#떠라랑_#우정스타그램_#셀스타그램_#얼스타그램_#전주_#여의동_#이쁜_#카페에서_#일상_#데일리_#daily_#selfie_#꽃스타그램_#대학생_#아니라_#서글픔
24	2019-06-03T06:36:19.000Z	e_u_n_s_u	0	0	135	0
25	2020-03-09T05:30:16.000Z	j_marigold_	0	?눈썹??/./././././././././././././/#월요일_#오후_#여의동_#하트꾹_#선팔하면맞팔_#맞팔_#맞팔환영_#하트_#소통_#좋아요반사_#좋튀_#댓글_#선팔맞팔_#팔로잉_#팔로우미_#맞팔해요_#신사동_#심심_#디엠_#21_#followme_#fff_#f4f_#instagood_#likeforfollow_#like4like_#likeforlike_#likeforlikes_#followforfollowback	369	#월요일_#오후_#여의동_#하트꾹_#선팔하면맞팔_#맞팔_#맞팔환영_#하트_#소통_#좋아요반사_#좋튀_#댓글_#선팔맞팔_#팔로잉_#팔로우미_#맞팔해요_#신사동_#심심_#디엠_#21_#followme_#fff_#f4f_#instagood_#likeforfollow_#like4like_#likeforlike_#likeforlikes_#followforfollowback
26	2020-03-19T07:45:39.000Z	minjung__lee	Jeonju,_Korea	햇빛은_좋은데_바람_너무_너무_많이_불엉_🌬	189	
27	2019-12-03T11:18:04.000Z	bjhksm	세상의_모든_아침	여의도_세상의모든아침_방문//계획이_틀어져_예약도_없이_번개로_오게_되었는_데_운_좋게_대기_없이_착석😍😍😍/부라타_앤_보코치니_치즈_샐러드,_샥슈카._킹프라운_토마토_링귀니_주문//부라타치즈와_보코치니치즈_두가지_치즈와_살짝_데쳐서_숨이_죽은_토마토와_그린_들이_레몬_드레싱과_어우려져..._치즈의_담백함은_배가_되고.._상큼한_레몬향이_식욕을_자극😄😄😄😄😀_#샥슈카_는_이름도_생소하다.🙀_이스라엘식_브런치_메뉴란다._쵸리조소세지,_가지,_토마토,_달걀이_들어간_토마토베이스_스튜에_모짜렐라_찌즈가_덮혀져_있다._살짝_매콤해서.._치즈의_느끼함은_느낄_수_없고.._살짝_짭조름한데.._함께나온_깜빠뉴_빵이랑_함께_먹으니_딱이다../이름도_생소한데..._이스라엘_식이라고는_하나_이태리_음식이랑_비슷한듯🤔🤔_하며_많이_먹어본_맛이다._추운날_먹으니_딱이당😘😘😘😘_😀킹프라운_토마토_링귀니/통채로_구운_대하와_바질을_넣은_토마토소스_파스타..._일반_스파게티면을_살짝_눌러놓음_듯한_링귀니_면은_너무_적당히_잘_쌂아져_나왔고..._토마토_베이스소스에서_새우_향이_은은하게_베어나오며..._평범한듯_한_파스타인데.._진짜_맛있게_먹었다..🥰😘🥰😘🥰😘_배가_불러_디져트_못_먹고_나온게_아쉽당😅😅😅😅😅야경이_진짜_좋긴하다.._25층_야경보다_50층_야경이_좋긴하다..._#세상의모든아침_#여의도맛집_#여의도분위기좋은곳_#여의동_#아경맛집_#샥슈카_#부라타치즈_#보코치니치즈샐러드_#초리죠소세지	81	#샥슈카_#세상의모든아침_#여의도맛집_#여의도분위기좋은곳_#여의동_#아경맛집_#샥슈카_#부라타치즈_#보코치니치즈샐러드_#초리죠소세지
28	2020-04-01T13:41:58.000Z	eosnue	여의도한강공원	0	73	0
